"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Disability_Status","Service_Type","Client_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Assistance to sustain housing tenure","","","","Support needs of clients; summary (closed support periods)","Assistance to sustain housing tenure","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","74.0","87.9","87.9","90.3","98.6","66.6","89.4","91.8","83.8"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Assistance to sustain housing tenure","","","","Support needs of clients; summary (closed support periods)","Assistance to sustain housing tenure","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","26.0","12.1","12.1","9.7","1.4","33.4","10.6","8.2","16.2"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Assistance to sustain housing tenure","","","","Support needs of clients; summary (closed support periods)","Assistance to sustain housing tenure","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","62.1","79.3","75.7","77.0","96.9","55.9","77.6","88.3","73.6"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Assistance to sustain housing tenure","","","","Support needs of clients; summary (closed support periods)","Assistance to sustain housing tenure","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","4.6","2.6","2.5","5.3","0.2","9.2","3.7","0.7","3.3"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Assistance to sustain housing tenure","","","","Support needs of clients; summary (closed support periods)","Assistance to sustain housing tenure","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","18051","23300","9404","2786","2047","671","566","829","57002"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Mental health services","","","","Support needs of clients; summary (closed support periods)","Mental health services","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","55.0","62.2","61.1","76.2","72.6","63.3","66.4","81.0","61.3"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Mental health services","","","","Support needs of clients; summary (closed support periods)","Mental health services","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","45.0","37.8","38.9","23.8","27.4","36.7","33.6","19.0","38.7"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Mental health services","","","","Support needs of clients; summary (closed support periods)","Mental health services","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","19.6","36.7","26.8","30.5","1.4","37.9","36.5","51.5","27.0"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Mental health services","","","","Support needs of clients; summary (closed support periods)","Mental health services","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","22.8","14.0","19.4","25.6","70.1","11.9","20.5","9.5","21.4"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Mental health services","","","","Support needs of clients; summary (closed support periods)","Mental health services","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","5550","3882","1857","1241","511","335","244","231","13556"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Family/relationship assistance","","","","Support needs of clients; summary (closed support periods)","Family services","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","72.2","74.5","75.1","88.9","93.1","84.5","88.7","91.7","78.0"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Family/relationship assistance","","","","Support needs of clients; summary (closed support periods)","Family services","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","27.8","25.5","24.9","11.1","6.9","15.5","11.3","8.3","22.0"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Family/relationship assistance","","","","Support needs of clients; summary (closed support periods)","Family services","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","36.1","47.0","41.3","44.1","30.5","32.9","49.0","47.1","40.7"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Family/relationship assistance","","","","Support needs of clients; summary (closed support periods)","Family services","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","19.8","14.2","18.4","19.7","41.8","33.8","13.0","12.1","19.7"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Family/relationship assistance","","","","Support needs of clients; summary (closed support periods)","Family services","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","4270","3572","1381","1371","1056","219","239","505","12403"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Disability services","","","","Support needs of clients; summary (closed support periods)","Disability services","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","47.7","64.8","60.6","70.4","83.3","51.2","67.7","83.8","59.4"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Disability services","","","","Support needs of clients; summary (closed support periods)","Disability services","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","52.3","35.2","39.4","29.6","16.7","48.8","32.3","16.2","40.6"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Disability services","","","","Support needs of clients; summary (closed support periods)","Disability services","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","17.9","35.6","28.9","30.2","0","34.1","32.3","64.9","27.8"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Disability services","","","","Support needs of clients; summary (closed support periods)","Disability services","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","22.1","10.9","19.1","21.4","83.3","12.2","22.6","13.5","18.6"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Disability services","","","","Support needs of clients; summary (closed support periods)","Disability services","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","725","696","325","159","36","41","31","37","2010"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Drug/alcohol counselling","","","","Support needs of clients; summary (closed support periods)","Drug/alcohol assistance","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","49.9","53.8","57.5","80.4","81.9","71.4","63.4","78.4","58.8"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Drug/alcohol counselling","","","","Support needs of clients; summary (closed support periods)","Drug/alcohol assistance","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","50.1","46.2","42.5","19.6","18.1","28.6","36.6","21.6","41.2"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Drug/alcohol counselling","","","","Support needs of clients; summary (closed support periods)","Drug/alcohol assistance","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","18.5","31.2","26.2","36.3","1.1","47.3","26.9","40.2","25.7"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Drug/alcohol counselling","","","","Support needs of clients; summary (closed support periods)","Drug/alcohol assistance","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","22.0","13.2","18.6","26.5","78.7","10.7","23.7","14.4","22.1"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Drug/alcohol counselling","","","","Support needs of clients; summary (closed support periods)","Drug/alcohol assistance","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","1526","1050","630","510","188","112","93","97","4100"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Legal/financial services","","","","Support needs of clients; summary (closed support periods)","Legal/financial services","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","61.3","66.3","72.8","83.2","70.9","79.0","84.7","85.9","70.7"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Legal/financial services","","","","Support needs of clients; summary (closed support periods)","Legal/financial services","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","38.7","33.7","27.2","16.8","29.1","21.0","15.3","14.1","29.3"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Legal/financial services","","","","Support needs of clients; summary (closed support periods)","Legal/financial services","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","20.7","30.1","36.5","20.7","6.7","47.1","34.2","26.7","24.5"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Legal/financial services","","","","Support needs of clients; summary (closed support periods)","Legal/financial services","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","29.0","25.5","21.5","42.0","57.8","22.5","19.5","15.7","31.6"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Legal/financial services","","","","Support needs of clients; summary (closed support periods)","Legal/financial services","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","2203","2198","1240","1225","1153","138","190","491","8676"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Family and domestic violence assistance","","","","Support needs of clients; summary (closed support periods)","Family and domestic violence assistance","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","85.2","94.1","91.6","96.9","98.1","83.0","83.4","98.5","92.7"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Family and domestic violence assistance","","","","Support needs of clients; summary (closed support periods)","Family and domestic violence assistance","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","14.8","5.9","8.4","3.1","1.9","17.0","16.6","1.5","7.3"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Family and domestic violence assistance","","","","Support needs of clients; summary (closed support periods)","Family and domestic violence assistance","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","62.9","86.3","75.8","86.2","92.8","65.6","58.6","87.6","80.7"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Family and domestic violence assistance","","","","Support needs of clients; summary (closed support periods)","Family and domestic violence assistance","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","4.6","0.6","2.8","1.6","0.4","9.2","8.6","0.6","1.8"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Family and domestic violence assistance","","","","Support needs of clients; summary (closed support periods)","Family and domestic violence assistance","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","11002","25303","5823","5867","2847","401","290","3148","54075"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Immigration/cultural services","","","","Support needs of clients; summary (closed support periods)","Immigration/cultural services","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","86.6","94.3","89.9","98.4","91.4","79.4","92.5","97.8","93.5"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Immigration/cultural services","","","","Support needs of clients; summary (closed support periods)","Immigration/cultural services","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","13.4","5.7","10.1","1.6","8.6","20.6","7.5","2.2","6.5"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Immigration/cultural services","","","","Support needs of clients; summary (closed support periods)","Immigration/cultural services","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","65.0","73.9","56.7","90.3","73.2","52.9","63.6","93.9","76.8"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Immigration/cultural services","","","","Support needs of clients; summary (closed support periods)","Immigration/cultural services","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","8.4","7.4","16.2","2.8","7.5","14.7","8.4","0.4","6.4"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Immigration/cultural services","","","","Support needs of clients; summary (closed support periods)","Immigration/cultural services","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","2588","2961","743","3316","684","34","107","743","11032"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Other specialist services","","","","Support needs of clients; summary (closed support periods)","Other specialist services","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","80.0","86.9","85.9","92.8","97.8","85.0","90.1","95.7","86.4"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Other specialist services","","","","Support needs of clients; summary (closed support periods)","Other specialist services","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","20.0","13.1","14.1","7.2","2.2","15.0","9.9","4.3","13.6"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Other specialist services","","","","Support needs of clients; summary (closed support periods)","Other specialist services","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","48.1","53.9","41.5","52.4","28.6","50.2","26.8","68.2","48.0"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Other specialist services","","","","Support needs of clients; summary (closed support periods)","Other specialist services","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","14.3","13.1","15.9","17.6","57.7","16.2","36.3","6.0","18.5"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","Other specialist services","","","","Support needs of clients; summary (closed support periods)","Other specialist services","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","9772","7729","3878","3273","2574","512","493","1146","28859"
"19A.15","2021-22","Addressing client needs","All ages","All people","All people","All areas","","","","","Total clients who needed homelessness services","Support needs of clients; summary (closed support periods)","","","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","49156","77608","30203","19851","12213","4595","2004","7434","201490"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Accommodation/accommodation related assistance","","","","Support needs of clients; summary (closed support periods)","Accommodation/accommodation related assistance","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","46.5","64.8","60.8","92.0","84.1","76.9","55.3","91.2","64.3"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Accommodation/accommodation related assistance","","","","Support needs of clients; summary (closed support periods)","Accommodation/accommodation related assistance","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","53.5","35.2","39.2","8.0","15.9","23.1","44.7","8.8","35.7"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Accommodation/accommodation related assistance","","","","Support needs of clients; summary (closed support periods)","Accommodation/accommodation related assistance","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","20.6","35.4","37.3","65.0","21.4","25.6","11.8","77.1","34.9"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Accommodation/accommodation related assistance","","","","Support needs of clients; summary (closed support periods)","Accommodation/accommodation related assistance","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","17.2","12.0","12.4","16.0","46.1","32.8","25.2","2.7","16.6"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Accommodation/accommodation related assistance","","","","Support needs of clients; summary (closed support periods)","Accommodation/accommodation related assistance","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","31975","36094","19595","13051","7052","4083","1713","4105","116087"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Assistance to sustain housing tenure","","","","Support needs of clients; summary (closed support periods)","Assistance to sustain housing tenure","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","73.6","88.0","86.6","94.4","99.1","71.1","82.7","94.1","83.8"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Assistance to sustain housing tenure","","","","Support needs of clients; summary (closed support periods)","Assistance to sustain housing tenure","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","26.4","12.0","13.4","5.6","0.9","28.9","17.3","5.9","16.2"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Assistance to sustain housing tenure","","","","Support needs of clients; summary (closed support periods)","Assistance to sustain housing tenure","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","62.2","79.3","73.8","81.2","97.8","58.7","61.7","89.8","73.7"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Assistance to sustain housing tenure","","","","Support needs of clients; summary (closed support periods)","Assistance to sustain housing tenure","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","4.4","2.4","2.2","5.0","0.2","9.4","7.0","2.3","3.2"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Assistance to sustain housing tenure","","","","Support needs of clients; summary (closed support periods)","Assistance to sustain housing tenure","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","19563","24078","9815","2677","3063","637","682","1007","60808"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Mental health services","","","","Support needs of clients; summary (closed support periods)","Mental health services","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","56.2","61.9","63.6","71.3","62.9","55.7","51.1","73.3","60.9"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Mental health services","","","","Support needs of clients; summary (closed support periods)","Mental health services","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","43.8","38.1","36.4","28.7","37.1","44.3","48.9","26.7","39.1"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Mental health services","","","","Support needs of clients; summary (closed support periods)","Mental health services","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","21.8","35.1","27.6","28.1","1.0","26.4","12.7","34.2","26.2"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Mental health services","","","","Support needs of clients; summary (closed support periods)","Mental health services","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","20.3","15.3","23.4","25.9","61.2","18.6","24.6","25.0","22.3"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Mental health services","","","","Support needs of clients; summary (closed support periods)","Mental health services","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","5455","4478","2170","1445","901","458","276","292","15139"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Family/relationship assistance","","","","Support needs of clients; summary (closed support periods)","Family services","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","74.5","80.5","76.9","81.6","90.5","80.3","82.1","89.2","79.7"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Family/relationship assistance","","","","Support needs of clients; summary (closed support periods)","Family services","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","25.5","19.5","23.1","18.4","9.5","19.7","17.9","10.8","20.3"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Family/relationship assistance","","","","Support needs of clients; summary (closed support periods)","Family services","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","33.3","46.4","41.6","41.4","30.3","32.7","45.6","48.8","39.6"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Family/relationship assistance","","","","Support needs of clients; summary (closed support periods)","Family services","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","20.8","17.2","16.5","16.1","35.6","15.9","13.5","13.5","19.6"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Family/relationship assistance","","","","Support needs of clients; summary (closed support periods)","Family services","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","4388","4243","1569","1604","1370","315","296","510","14085"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Disability services","","","","Support needs of clients; summary (closed support periods)","Disability services","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","53.8","58.9","59.5","66.5","86.3","57.1","58.0","80.6","59.6"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Disability services","","","","Support needs of clients; summary (closed support periods)","Disability services","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","46.2","41.1","40.5","33.5","13.7","42.9","42.0","19.4","40.4"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Disability services","","","","Support needs of clients; summary (closed support periods)","Disability services","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","20.8","29.2","31.1","31.8","4.1","26.8","12.0","47.2","26.0"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Disability services","","","","Support needs of clients; summary (closed support periods)","Disability services","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","21.7","16.9","19.4","24.9","82.2","23.2","28.0","19.4","22.5"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Disability services","","","","Support needs of clients; summary (closed support periods)","Disability services","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","697","657","299","173","73","56","50","36","1990"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Drug/alcohol counselling","","","","Support needs of clients; summary (closed support periods)","Drug/alcohol assistance","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","54.0","57.3","62.2","62.7","62.0","66.2","56.8","77.1","58.9"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Drug/alcohol counselling","","","","Support needs of clients; summary (closed support periods)","Drug/alcohol assistance","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","46.0","42.7","37.8","37.3","38.0","33.8","43.2","22.9","41.1"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Drug/alcohol counselling","","","","Support needs of clients; summary (closed support periods)","Drug/alcohol assistance","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","24.7","33.3","28.1","27.5","1.2","39.1","6.3","34.4","26.2"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Drug/alcohol counselling","","","","Support needs of clients; summary (closed support periods)","Drug/alcohol assistance","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","20.2","13.6","23.8","17.9","60.4","14.6","36.8","21.4","22.1"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Drug/alcohol counselling","","","","Support needs of clients; summary (closed support periods)","Drug/alcohol assistance","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","1815","1317","780","826","434","151","95","131","5398"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Legal/financial services","","","","Support needs of clients; summary (closed support periods)","Legal/financial services","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","62.6","72.9","73.1","77.1","74.1","77.4","67.3","83.1","71.6"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Legal/financial services","","","","Support needs of clients; summary (closed support periods)","Legal/financial services","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","37.4","27.1","26.9","22.9","25.9","22.6","32.7","16.9","28.4"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Legal/financial services","","","","Support needs of clients; summary (closed support periods)","Legal/financial services","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","22.4","33.8","41.4","23.3","16.3","49.7","22.6","31.4","28.1"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Legal/financial services","","","","Support needs of clients; summary (closed support periods)","Legal/financial services","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","26.3","26.8","18.2","32.7","52.5","20.0","20.1","25.3","29.9"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Legal/financial services","","","","Support needs of clients; summary (closed support periods)","Legal/financial services","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","2505","2553","1409","1204","1630","155","159","491","9930"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Family and domestic violence assistance","","","","Support needs of clients; summary (closed support periods)","Family and domestic violence assistance","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","85.1","94.6","91.5","94.7","97.8","78.3","77.5","97.6","92.5"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Family and domestic violence assistance","","","","Support needs of clients; summary (closed support periods)","Family and domestic violence assistance","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","14.9","5.4","8.5","5.3","2.2","21.7","22.5","2.4","7.5"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Family and domestic violence assistance","","","","Support needs of clients; summary (closed support periods)","Family and domestic violence assistance","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","58.0","85.3","75.2","82.5","85.7","55.4","39.4","86.5","78.3"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Family and domestic violence assistance","","","","Support needs of clients; summary (closed support periods)","Family and domestic violence assistance","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","5.3","0.8","5.1","1.9","0.4","9.6","18.4","0.5","2.4"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Family and domestic violence assistance","","","","Support needs of clients; summary (closed support periods)","Family and domestic violence assistance","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","11982","29541","6286","5865","3223","406","386","3066","60110"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Immigration/cultural services","","","","Support needs of clients; summary (closed support periods)","Immigration/cultural services","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","88.0","94.8","88.7","98.2","93.3","91.7","85.0","84.2","93.4"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Immigration/cultural services","","","","Support needs of clients; summary (closed support periods)","Immigration/cultural services","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","12.0","5.2","11.3","1.8","6.7","8.3","15.0","15.8","6.6"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Immigration/cultural services","","","","Support needs of clients; summary (closed support periods)","Immigration/cultural services","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","68.3","70.5","62.0","93.3","79.4","35.4","55.8","75.6","77.8"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Immigration/cultural services","","","","Support needs of clients; summary (closed support periods)","Immigration/cultural services","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","6.6","7.8","10.2","2.0","4.6","22.9","16.7","3.7","5.5"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Immigration/cultural services","","","","Support needs of clients; summary (closed support periods)","Immigration/cultural services","Total clients for whom need was identified","","","AIHW (unpublished) Specialist Homelessness Services Collection","no.","3106","3922","915","4834","1211","48","120","816","14776"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Other specialist services","","","","Support needs of clients; summary (closed support periods)","Other specialist services","Provided and/or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","83.5","85.3","87.1","90.5","96.9","79.0","77.2","93.9","87.1"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Other specialist services","","","","Support needs of clients; summary (closed support periods)","Other specialist services","Not provided or referred","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","16.5","14.7","12.9","9.5","3.1","21.0","22.8","6.1","12.9"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Other specialist services","","","","Support needs of clients; summary (closed support periods)","Other specialist services","Provided only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","49.1","49.5","43.3","48.9","28.3","38.9","26.1","62.2","46.2"
"19A.15","2020-21","Addressing client needs","All ages","All people","All people","All areas","","Other specialist services","","","","Support needs of clients; summary (closed support periods)","Other specialist services","Referred only","","","AIHW (unpublished) Specialist Homelessness Services Collection","%","13.9","14.7","14.5","15.4","55.3","18.4","21.4","5.7","19.0"
