"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Disability_Status","Housing_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aust"
"18A.1","2018-19","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Total","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","2029.1","1046.4","1245.5","774.8","590.0","200.7","173.3","557.2","","6617.0"
"18A.1","2018-19","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Net recurrent expenditure","per person in the population","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","198.93","111.54","165.71","286.30","223.57","238.76","385.87","962.87","","192.12"
"18A.1","2017-18","Recurrent expenditure","All ages","All people","All households","All areas","All households","Public housing","2024-25 dollars","Public housing","State and territory government real expenditure","","Net recurrent expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1344.8","508.9","577.1","596.5","344.5","75.1","152.5","116.2","","3715.6"
"18A.1","2017-18","Recurrent expenditure","All ages","All people","All households","All areas","All households","State owned and managed Indigenous housing","2024-25 dollars","State owned and managed Indigenous housing","State and territory government real expenditure","","Net recurrent expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","58.7","..","50.7","..","24.6","1.9","..","108.6","","244.5"
"18A.1","2017-18","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Net recurrent expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1694.0","653.9","812.0","866.0","399.7","166.9","158.5","225.0","","4975.9"
"18A.1","2017-18","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Capital expenditure","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","587.8","336.1","474.5","42.7","213.9","40.7","-3.6","230.4","","1922.5"
"18A.1","2017-18","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Total","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","2281.7","990.0","1286.5","908.7","613.6","207.6","154.9","455.4","","6898.4"
"18A.1","2017-18","Recurrent expenditure","All ages","All people","All households","All areas","All households","","2024-25 dollars","All social housing","State and territory government real expenditure","","Net recurrent expenditure","per person in the population","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","214.40","102.84","163.67","333.09","230.26","313.98","377.22","911.34","","200.97"
"18A.2","2024-25","Properties transferred to community housing","All ages","All people","All households","All areas","All households","Community housing","2024-25 dollars","Community housing","Property transferred from state and territory housing authorities to community housing organisations","","Value of property transferred","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","70.7","0","0","0","0","32.5","0","45.6","",""
"18A.2","2024-25","Properties transferred to community housing","All ages","All people","All households","All areas","All households","Community housing","","Community housing","Property transferred from state and territory housing authorities to community housing organisations","","Number of dwellings transferred","","","","State and territory governments (unpublished)","no.","108","0","0","0","0","81","0","451","",""
"18A.2","2023-24","Properties transferred to community housing","All ages","All people","All households","All areas","All households","Community housing","2024-25 dollars","Community housing","Property transferred from state and territory housing authorities to community housing organisations","","Value of property transferred","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","50.9","0","0","0","0","9.9","0","19.1","",""
